JOURNAL,edit
Rangifer,Rangifer
Rangelands,Rangelands
Rangeland Journal,Rangeland Journal
Rangeland Ecology and Management,Rangeland Ecology and Management
Rangeland Ecology \& Management,Rangeland Ecology and Management
Rangeland Ecol Manage,Rangeland Ecology and Management
Rangeland,Rangeland
Range Management and Ecology,Range Management and Ecology
Ranch Magazine,Ranch Magazine
Raffles Bulletin of Zoology (Supplement),Raffles Bulletin of Zoology (Supplement)
Raffles Bulletin of Zoology,Raffles Bulletin of Zoology
"R.L. Desjardins, J.C. Keng, and K. Haugen-Kozyra, International Workshop on Reducing Nitrous Oxide Emissions from Agroecosystems.  March 3-5, Banff, Alberta, Canada","R.L. Desjardins, J.C. Keng, and K. Haugen-Kozyra, International Workshop on Reducing Nitrous Oxide Emissions from Agroecosystems.  March 3-5, Banff, Alberta, Canada"
R.F. Sage and R.K. Monson (eds). The Biology of C4 Photosynthesis. Academic Press.,R.F. Sage and R.K. Monson (eds). The Biology of C4 Photosynthesis. Academic Press.
"R. E. Joost and C. A. Robers, eds., Nutrient Cycling in Forage Systems. Potash and Phosphate Institute, Manhattan, KS.","R. E. Joost and C. A. Robers, eds., Nutrient Cycling in Forage Systems. Potash and Phosphate Institute, Manhattan, KS."
"R. A. Leigh and A. E. Johnston, Eds., Long-term Experiments in Agricultural and Ecological Sciences. CAB International, Wallingford, Oxon, United Kingd","R. A. Leigh and A. E. Johnston, Eds., Long-term Experiments in Agricultural and Ecological Sciences. CAB International, Wallingford, Oxon, United Kingd"
Quaternary Science Reviews,Quaternary Science Reviews
Quaternary Research,Quaternary Research
Quaternary research,Quaternary Research
Quaternary International,Quaternary International
Quat. Res.,Quaternary Research
Quarternary Science Reviews,Quarternary Science Reviews
Quart,Quart
"Pure Appl. Geophys., Special Issue in honor of Prof. Singh","Pure Appl. Geophys., Special Issue in honor of Prof. Singh"
Publications of the Karelian Institute,Publications of the Karelian Institute
Publication No,Publication No
Publication 9838,Publication 9838
Public Understanding of Science,Public Understanding of Science
Public Administration and Management: An Interactive Journal.,Public Administration and Management: An Interactive Journal.
Pteriodology in Perspective,Pteriodology in Perspective
Progress in Physical Geography,Progress in Physical Geography
Progress in Oceanography,Progress in Oceanography
"Progress in Microbiology (Proceedings of Seventh International Symposium on Microbial Ecology, Santos, Sao Paulo, Brazil, 1995)","Progress in Microbiology (Proceedings of Seventh International Symposium on Microbial Ecology, Santos, Sao Paulo, Brazil, 1995)"
Progress in Human Geography,Progress in Human Geography
Progress in Botany,Progress in Botany
Professional Geographer,Professional Geographer
Proceedings:Selected papers of the 38th Annual Meeting of the Society for Range Management,Proceedings:Selected papers of the 38th Annual Meeting of the Society for Range Management
"Proceedings:International Sulphur {\textquoteright}82 Conference, London","Proceedings:International Sulphur {\textquoteright}82 Conference, London"
Proceedings: Forestry and Water Quality: A mid-South Symposium,Proceedings: Forestry and Water Quality: A mid-South Symposium
"Proceedings. Western Section, American Society of Animal Science","Proceedings. Western Section, American Society of Animal Science"
"Proceedings, Western Section, American Society of Animal Science","Proceedings, Western Section, American Society of Animal Science"
"Proceedings, Southern Weed Science Society","Proceedings, Southern Weed Science Society"
"Proceedings, IUFRO workshop on water and nutrient simulation models","Proceedings, IUFRO workshop on water and nutrient simulation models"
"Proceedings, enhancing the southern Appalachian forest resources","Proceedings, enhancing the southern Appalachian forest resources"
"Proceedings, Conference on Sustainable Ecosystems, Flagstaff AZ, USDA Forest Service General Technical Report RMA-26","Proceedings, Conference on Sustainable Ecosystems, Flagstaff AZ, USDA Forest Service General Technical Report RMA-26"
Proceedings RMRS-P-13,Proceedings RMRS-P-13
Proceedings of U,Proceedings of U
Proceedings of the trout stream habitat improvement workshop,Proceedings of the trout stream habitat improvement workshop
"Proceedings of the Technical Workshop on Sediments, 1992","Proceedings of the Technical Workshop on Sediments, 1992"
Proceedings of the symposium: The forested wetlands of the Southern United States (Gen,Proceedings of the symposium: The forested wetlands of the Southern United States (Gen
"Proceedings of the Symposium on Biosphere Reserves, Fourth World Wilderness Congress","Proceedings of the Symposium on Biosphere Reserves, Fourth World Wilderness Congress"
Proceedings of the Specialty Conference on Hydraulics and Hydrology in the Small Computer Age,Proceedings of the Specialty Conference on Hydraulics and Hydrology in the Small Computer Age
Proceedings of the second biennial southern silvicultural research conference (Gen Tech,Proceedings of the second biennial southern silvicultural research conference (Gen Tech
Proceedings of the second biennial southern silvicultural research conference (Gen,Proceedings of the second biennial southern silvicultural research conference (Gen
"Proceedings of the Royal Society, London, Series B","Proceedings of the Royal Society, London, Series B"
"Proceedings of the Royal Society of London.  Series B, Biological Sciences","Proceedings of the Royal Society, London, Series B"
Proceedings of the Royal Society of London Series B - Biological Sciences,"Proceedings of the Royal Society, London, Series B"
Proceedings of the Royal Society of London Series B,"Proceedings of the Royal Society, London, Series B"
Proceedings of the Royal Society of Edinburgh,Proceedings of the Royal Society of Edinburgh
Proceedings of the Royal Society B: Biological Sciences,"Proceedings of the Royal Society, London, Series B"
Proceedings of the Royal Society B {\textendash} Biological Sciences,"Proceedings of the Royal Society, London, Series B"
Proceedings of the Royal Society B-Biological Sciences,"Proceedings of the Royal Society, London, Series B"
Proceedings of the Royal Society B,"Proceedings of the Royal Society, London, Series B"
Proceedings of the Natural Academy of Sciences,Proceedings of the Natural Academy of Sciences
Proceedings of the National Ecological Monitoring and Research Workshop,Proceedings of the National Ecological Monitoring and Research Workshop
"Proceedings of the National Academy of Sciences, U.S.A.",Proceedings of the National Academy of Sciences USA
Proceedings of the National Academy of Sciences USA,Proceedings of the National Academy of Sciences USA
Proceedings of the National Academy of Sciences of the United States of America,Proceedings of the National Academy of Sciences USA
Proceedings of the National Academy of Sciences of the United States Army,Proceedings of the National Academy of Sciences USA
Proceedings of the National Academy of Sciences (USA),Proceedings of the National Academy of Sciences USA
Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences USA
Proceedings of the National Academy of Science of the United States of America,Proceedings of the National Academy of Sciences USA
Proceedings of the National Academy of Science,Proceedings of the National Academy of Sciences USA
Proceedings of the National Academies of Science.,Proceedings of the National Academy of Sciences USA
Proceedings of the National Acadamy of Science,Proceedings of the National Academy of Sciences USA
Proceedings of the international symposium on hydrometeorology,Proceedings of the international symposium on hydrometeorology
Proceedings of the International Symposium on Comprehensive Watershed Management,Proceedings of the International Symposium on Comprehensive Watershed Management
Proceedings of the International Society for Optical Engineering,Proceedings of the International Society for Optical Engineering
Proceedings of the international conference on heavy metals in the environment,Proceedings of the international conference on heavy metals in the environment
Proceedings of the Entomology Society of Washington,Proceedings of the Entomology Society of Washington
Proceedings of the Entomological Society of Washington,Proceedings of the Entomological Society of Washington
Proceedings of the Biological Society of Washington,Proceedings of the Biological Society of Washington
Proceedings of the ACSM/ASPRS Annual Convention and Exposition Technical Papers,Proceedings of the ACSM/ASPRS Annual Convention and Exposition Technical Papers
Proceedings of the Academy of Natural Sciences of Philadelphia,Proceedings of the Academy of Natural Sciences of Philadelphia
Proceedings of the 7th North American Forest Soils Conference,Proceedings of the 7th North American Forest Soils Conference
Proceedings of the 2003 Georgia Water Resources Conference,Proceedings of the 2003 Georgia Water Resources Conference
Proceedings of the 1986 Southern Forest Biomass Workshop,Proceedings of the 1986 Southern Forest Biomass Workshop
Proceedings of the 16th International Confrence of ISTRO,Proceedings of the 16th International Confrence of ISTRO
Proceedings of Southern Weed Science Society,Proceedings of Southern Weed Science Society
"Proceedings of Royal Society, Biological Sciences","Proceedings of Royal Society, Biological Sciences"
Proceedings of National Academy of Sciences,Proceedings of the National Academy of Sciences USA
Proceedings of forestry and water quality: a mid-south symposium,Proceedings of forestry and water quality: a mid-south symposium
Proceedings of Entomological Society of Washington,Proceedings of Entomological Society of Washington
"Proceedings National Water Quality Monitoring Council National Monitoring Conference 2002, Building a Framework for the Future; 2002 May 20-23; Madison, WI","Proceedings National Water Quality Monitoring Council National Monitoring Conference 2002, Building a Framework for the Future; 2002 May 20-23; Madison, WI"
Proceedings Land Use and Biodiversity on the Highlands Plateau,Proceedings Land Use and Biodiversity on the Highlands Plateau
Proceedings Challenges of Large Applications in Distributed Envrionments,Proceedings Challenges of Large Applications in Distributed Envrionments
Proceedings 10th Insects in Captivity Conference,Proceedings 10th Insects in Captivity Conference
Proceedings  of the Entomological Society Washington,Proceedings  of the Entomological Society Washington
Proceedings - Fire Effects on Rare and Endangered Species and Habitats Conference,Proceedings - Fire Effects on Rare and Endangered Species and Habitats Conference
Proceeding of the Royal Society of London Interface,Proceeding of the Royal Society of London Interface
Proceeding of the National Academy of Sciences,Proceedings of the National Academy of Sciences USA
Procedures of the Western Section of the American Society,Procedures of the Western Section of the American Society
Procedures for the Western Section of the American Society,Procedures of the Western Section of the American Society
Proc. Western Secion of the American Society of Animal Sciences,Proc. Western Secion of the American Society of Animal Sciences
Proc. Natl. Acad. Sci. USA,Proceedings of the National Academy of Sciences USA
Proc. Natl. Acad. Sci.,Proceedings of the National Academy of Sciences USA
Proc. National Academy Sciences,Proceedings of the National Academy of Sciences USA
Proc. National Academy of Sciences USA,Proceedings of the National Academy of Sciences USA
Proc. National Academy of Sciences,Proceedings of the National Academy of Sciences USA
Proc. Nat. Acad. Sci. USA,Proceedings of the National Academy of Sciences USA
Proc. ISME,Proc. ISME
Proc. Entomol. Soc. Wash.,Proc. Entomol. Soc. Wash.
Proc. American Philosophical Society,Proc. American Philosophical Society
Proc Nat Acad Sci,Proceedings of the National Academy of Sciences USA
PRBO Technical Report,PRBO Technical Report
Prairie Naturalist,Prairie Naturalist
Potential environmental and health consequences of atmospheric sulfur deposition: proceedings of the second life science symposium,Potential environmental and health consequences of atmospheric sulfur deposition: proceedings of the second life science symposium
Population Ecology,Population Ecology
Population and Environment,Population and Environment
Population \& Environment,Population and Environment
Polish Journal of Ecology,Polish Journal of Ecology
Polar Research,Polar Research
Polar Record,Polar Record
Polar Meteorology and Glaciology,Polar Meteorology and Glaciology
Polar Geography,Polar Geography
Polar Biology,Polar Biology
PNAS,Proceedings of the National Academy of Sciences USA
PLOSone,PLoSOne
PLoSOne,PLoSOne
PLoS ONE,PLoSOne
PLoS One,PLoSOne
PloS One,PLoSOne
PLoS Biology,PLoS Biology
PLoS  ONE,PLoSOne
"Plant, Cell, and Environment","Plant, Cell, and Environment"
"Plant, Cell and Environment","Plant, Cell, and Environment"
"Plant, Cell \& Environment","Plant, Cell, and Environment"
Plant Systematics and Evolution,Plant Systematics and Evolution
Plant Soil,Plant Soil
Plant Science,Plant Science
Plant Physiology,Plant Physiology
Plant Health Progress,Plant Health Progress
Plant ecology and diversity,Plant ecology and diversity
Plant Ecology,Plant Ecology
Plant Ecol,Plant Ecology
Plant Disease Vol,Plant Disease
Plant Disease,Plant Disease
Plant Cell Reports,Plant Cell Report
Plant Cell Report,Plant Cell Report
Plant Cell Physiology,Plant Cell Physiology
Plant Cell and Environment,Plant Cell and Environment
Plant and Soil Science,Plant and Soil Science
Plant and Soil (Special Issue),Plant and Soil (Special Issue)
Plant and Soil,Plant and Soil
Planetary Ecology,Planetary Ecology
Places,Places
Phytotaxa,Phytotaxa
Phytopathology,Phytopathology
Phyton (Austria),Phyton (Austria)
Phytologia,Phytologia
Phytochemistry,Phytochemistry
Phytochemical Analysis,Phytochemical Analysis
Phytochem Phytobiol,Phytochem Phytobiol
Physiological Zoology,Physiological Zoology
Physiological and Biochemical Zoology,Physiological and Biochemical Zoology
Physiologia Plantarum,Physiologia Plantarum
Physiol Biochem Zool,Physiol Biochem Zool
Physics-Uspekhi,Physics-Uspekhi
Physical Review E,Physical Review E
PHYSICAL GEOGRAPHY,Physical Geography
Physical Geography,Physical Geography
Physical Environment and Sciences,Physical Environment and Sciences
Physica A,Physica A
Physcial Georgraphy,Physcial Georgraphy
Photosynthetica,Photosynthetica
Photosynthesis Resource,Photosynthesis Resource
Photosynthesis Research - Regular Paper,Photosynthesis Research - Regular Paper
"Photogrammetrie, Fernerkundung, Geoinformation","Photogrammetrie, Fernerkundung, Geoinformation"
Photogrammetric Engineering and Remote Sensing,Photogrammetric Engineering and Remote Sensing
Photogrammetric Engineering \& Remote Sensing,Photogrammetric Engineering and Remote Sensing
Photogram. Engin.,Photogram. Engin.
Photochemistry and Photobiology,Photochemistry and Photobiology
Photochemical and Photobiological Sciences,Photochemical and Photobiological Sciences
"Philosophical Transactions of the Royal Society of London, Special Theme Issue, ""Antarctic Ecology: From Genes to Ecosystems.","Philosophical Transactions of the Royal Society of London, Special Theme Issue, ""Antarctic Ecology: From Genes to Ecosystems."
Philosophical Transactions of the Royal Society of London Series B-Biological Sciences,Philosophical Transactions of the Royal Society of London B Biological Sciences
Philosophical Transactions of the Royal Society of London B:  Biological Sciences,Philosophical Transactions of the Royal Society of London B Biological Sciences
Philosophical Transactions of the Royal Society of London B Biological Sciences,Philosophical Transactions of the Royal Society of London B Biological Sciences
"Philosophical Transactions of the Royal Society B, Biological Sciences",Philosophical Transactions of the Royal Society of London B Biological Sciences
Philosophical Transactions of The Royal Society B,Philosophical Transactions of the Royal Society of London B Biological Sciences
Philosophical Transactions of the Royal Society B,Philosophical Transactions of the Royal Society of London B Biological Sciences
Philosophical Transactions of the Royal Society,Philosophical Transactions of the Royal Society of London B Biological Sciences
Phil. Trans. R. Soc.,Philosophical Transactions of the Royal Society of London B Biological Sciences
"Phil. Trans. A, Special Theme Issue","Phil. Trans. A, Special Theme Issue"
"Ph.D. Thesis. Utah State University, Logan.","Ph.D. Thesis. Utah State University, Logan."
Ph.D. Thesis. University of Minnesota.,Ph.D. Thesis. University of Minnesota.
"Ph.D. Thesis, University of Minnesota.","Ph.D. Thesis, University of Minnesota."
Ph,Ph
"Perspectives in Plant Ecology, Evolution, and Systematics","Perspectives in Plant Ecology, Evolution, and Systematics"
Permafrost Periglacial Processes,Permafrost and Periglacial Processes
PERMAFROST AND PERIGLACIAL PROCESSES,Permafrost and Periglacial Processes
Permafrost and Periglacial Processes,Permafrost and Periglacial Processes
People and Reindeer on the Move. Special edition of Nomadic Peoples,People and Reindeer on the Move. Special edition of Nomadic Peoples
PennScience,PennScience
PeerJ,PeerJ
Pedobiologia,Pedobiologia
"Pastoral Memo-Southern Rangelands, Agriculture, Western Australia","Pastoral Memo-Southern Rangelands, Agriculture, Western Australia"
Park Science,Park Science
Papers and Proceedings of the Applied Geography Conference,Papers and Proceedings of the Applied Geography Conference
Pan-Pacific Entomologist,Pan-Pacific Entomologist
PaleoTimes,PaleoTimes
Paleobiology,Paleobiology
Palaios,Palaios
"Palaeography, Palaeoclimatology, Palaeoecology","Palaeogeography, Palaeoclimatology, and Palaeoecology"
"Palaeogeography, Palaeoclimatology, Palaeoecology","Palaeogeography, Palaeoclimatology, and Palaeoecology"
"Palaeogeography, Palaeoclimatology, and Palaeoecology","Palaeogeography, Palaeoclimatology, and Palaeoecology"
Pages Chp,Pages Chp
Pages 93-102 in W,Pages 93-102 in W
Pages 91 in Quarterly Review of Biology,Pages 91 in Quarterly Review of Biology
Pages 90-117 in D,Pages 90-117 in D
Pages 85-139 in S,Pages 85-139 in S
Pages 81-92 in W,Pages 81-92 in W
Pages 81-92 in J,Pages 81-92 in J
"Pages 71-99 in Bethlenfalvay, G., et al., eds., VA Mycorrhizae in Sustainable Agriculture. ASA/SSSA special publication No. 54. American Society of Agronomy, Madison, WI.","Pages 71-99 in Bethlenfalvay, G., et al., eds., VA Mycorrhizae in Sustainable Agriculture. ASA/SSSA special publication No. 54. American Society of Agronomy, Madison, WI."
Pages 706-708 in K,Pages 706-708 in K
Pages 57-79 in W,Pages 57-79 in W
Pages 559-610 in T,Pages 559-610 in T
Pages 534-540 in K,Pages 534-540 in K
Pages 50-71 in D,Pages 50-71 in D
Pages 46-55 in Long-term Ecological Research in the United States,Pages 46-55 in Long-term Ecological Research in the United States
Pages 425-435 in T,Pages 425-435 in T
Pages 415-424 in W,Pages 415-424 in W
Pages 409-421 in N,Pages 409-421 in N
Pages 407-414 in W,Pages 407-414 in W
Pages 397-406 in Carrying the Torch for Erosion Control: An Olympic Task,Pages 397-406 in Carrying the Torch for Erosion Control: An Olympic Task
Pages 383-408 in B,Pages 383-408 in B
Pages 367-380 in W,Pages 367-380 in W
Pages 359-366 in W,Pages 359-366 in W
Pages 355-395 in J,Pages 355-395 in J
Pages 35-55 in W,Pages 35-55 in W
Pages 339-357 in W,Pages 339-357 in W
Pages 325-337 in W,Pages 325-337 in W
Pages 313-324 in W,Pages 313-324 in W
Pages 3-16 in W,Pages 3-16 in W
Pages 287-297 in H,Pages 287-297 in H
Pages 281-300 in E,Pages 281-300 in E
Pages 279-294 in W,Pages 279-294 in W
Pages 278-287 in R,Pages 278-287 in R
Pages 269-278 in W,Pages 269-278 in W
Pages 257-268 in W,Pages 257-268 in W
Pages 233-243 in W,Pages 233-243 in W
Pages 231-253 in P,Pages 231-253 in P
Pages 23-32 in M,Pages 23-32 in M
Pages 221-232 in W,Pages 221-232 in W
Pages 220-230 in H,Pages 220-230 in H
Pages 207-218 in W,Pages 207-218 in W
Pages 199-208 in R,Pages 199-208 in R
Pages 193-205 in W,Pages 193-205 in W
Pages 19-29 in T,Pages 19-29 in T
Pages 181-189 in W,Pages 181-189 in W
Pages 180-184 in D,Pages 180-184 in D
Pages 171-191 in P,Pages 171-191 in P
Pages 17-31 in Forest hydrology and ecology at Coweeta,Pages 17-31 in Forest hydrology and ecology at Coweeta
Pages 165-171 in K,Pages 165-171 in K
"Pages 164-172 in Landolt, Ruth, ed","Pages 164-172 in Landolt, Ruth, ed"
Pages 161-179 in W,Pages 161-179 in W
Pages 16-17 in A,Pages 16-17 in A
Pages 151-159 in W,Pages 151-159 in W
Pages 143 in U,Pages 143 in U
Pages 141-149 in W,Pages 141-149 in W
Pages 137-145 in I,Pages 137-145 in I
Pages 137-141 in L,Pages 137-141 in L
Pages 133-191 in C,Pages 133-191 in C
Pages 133-142 in Biological markers of air-pollution stress and damage in forests,Pages 133-142 in Biological markers of air-pollution stress and damage in forests
Pages 129-148 in I,Pages 129-148 in I
Pages 129-137 in W,Pages 129-137 in W
Pages 125-151 in M,Pages 125-151 in M
Pages 118-129 in D,Pages 118-129 in D
Pages 117-187 in C,Pages 117-187 in C
Pages 115-119 in D,Pages 115-119 in D
Pages 111-127 in W,Pages 111-127 in W
Pages 11-24 in P,Pages 11-24 in P
Pages 11-14 in P,Pages 11-14 in P
Pages 103-110 in W,Pages 103-110 in W
Pacific Science,Pacific Science
Pacific Northwest Fungi,Pacific Northwest Fungi
Pacific Conservation Biology,Pacific Conservation Biology
"P. Jolivet, E. Petitpierre, and T. H. Hsiao, Eds., Biology of Chrysomelidae. Kluwer Academic Publishers.","P. Jolivet, E. Petitpierre, and T. H. Hsiao, Eds., Biology of Chrysomelidae. Kluwer Academic Publishers."
Ornis Scandinavica,Ornis Scandinavica
Orion,Orion
Organic Geochemistry,Organic Geochemistry
Oregon Birds,Oregon Birds
"Opportunities for the hardwood industry to address environmental  challenges: Proceedings of the twenty-second annual hardwood symposium;  1994 May 12-15; Cashiers, NC","Opportunities for the hardwood industry to address environmental  challenges: Proceedings of the twenty-second annual hardwood symposium;  1994 May 12-15; Cashiers, NC"
Omics,Omics
OIKOS,OIKOS
Oikos,Oikos
Oecologica.,Oecologica
Oecologia.,Oecologia
Oecologia Plant,Oecologia
Oecologia (Berlin),Oecologia
Oecologia (Berl.),Oecologia
OECOLOGIA,Oecologia
Oecologia,Oecologia
Oceanography,Oceanography
Ocean Science Journal,Ocean Science Journal
Ocean Engineering,Ocean Engineering
Ocean Dynamics,Ocean Dynamics
Ocean \& Coastal Management,Ocean and Coastal Management
Nutrition Reports International,Nutrition Reports International
Nutrient Cycling in Agroecosystems,Nutrient Cycling in Agroecosystems
Nutrient Cycles in Agroecosystems,Nutrient Cycles in Agroecosystems
NULL,NULL
Nuclear Instruments and Methods in Physics Research B.,Nuclear Instruments and Methods in Physics Research B.
Nuclear Instrument Methods B,Nuclear Instrument Methods B
NSTA Science Scope,NSTA Science Scope
NPS-SER Research/Resources Mgt,NPS-SER Research/Resources Mgt
Nova Hedwigia,Nova Hedwigia
Northwestern Naturalist,Northwestern Naturalist
Northwest Science,Northwest Science
Northwest Environmental Journal,Northwest Environmental Journal
Northern Review,Northern Review
Northern Journal of Applied Forestry,Northern Journal of Applied Forestry
Northern J. Appl. For.,Northern Journal of Applied Forestry
Northeastern Naturalist,Northeastern Naturalist
North. J. Appl. For.,North. J. Appl. For.
North American science symposium: toward a unified framework for inventorying and monitoring forest ecosystem resources,North American science symposium: toward a unified framework for inventorying and monitoring forest ecosystem resources
North American Journal of Fisheries Management,North American Journal of Fisheries Management
North American Journal of Fisheries Managemen,North American Journal of Fisheries Management
North American Journal of Fish Management,North American Journal of Fisheries Management
North American Fungi,North American Fungi
North American Benthological Society,North American Benthological Society
Nordic Journal of Freshwater Resources,Nordic Journal of Freshwater Resources
Nordic Journal of Botany,Nordic Journal of Botany
Nordic Hydrology,Nordic Hydrology
None,None
No citation,No citation
Ninth North American Prairie Conference,Ninth North American Prairie Conference
Newsletter of the Biological Survey of Canada (Terrestrial Arthropods),Newsletter of the Biological Survey of Canada (Terrestrial Arthropods)
New Zealand Journal of Hydrology,New Zealand Journal of Hydrology
New Zealand Journal of Forest Research,New Zealand Journal of Forest Research
New Zealand Journal of Ecology,New Zealand Journal of Ecology
New Zealand Journal of Botany,New Zealand Journal of Botany
New York{\textquoteright}s Food and Life Sciences Quarterly,New York{\textquoteright}s Food and Life Sciences Quarterly
New York: CABI Publishing,New York: CABI Publishing
New York Entomological Society,New York Entomological Society
New Phytologist.,New Phytologist
NEW PHYTOLOGIST,New Phytologist
New Phytologist,New Phytologist
New Phytol.,New Phytologist
New Mexico Ornithological Society Bulletin,New Mexico Ornithological Society Bulletin
New Mexico Journal of Science,New Mexico Journal of Science
New Mexico Geology,New Mexico Geology
New Hampshire Audubon Quarterly,New Hampshire Audubon Quarterly
"Network News, U.S. LTER Newsletter","Network News, U.S. LTER Newsletter"
Nematology,Nematology
Nematologica,Nematologica
Near Surface Geophysics,Near Surface Geophysics
NE-GTR-115,NE-GTR-115
Naturwissenschaften,Naturwissenschaften
"Natures, Sciences, Soci{\'e}t{\'e}s","Natures, Sciences, Soci{\'e}t{\'e}s"
Nature: Geoscience,Nature: Geoscience
Nature Reviews Microbiology,Nature Reviews Microbiology
Nature Precedings,Nature Precedings
Nature Geosciences,Nature Geosciences
Nature Geoscience,Nature Geosciences
Nature Education Knowledge,Nature Education Knowledge
Nature Biotechnology,Nature Biotechnology
NATURE,Nature
Nature,Nature
Natural Resources and Environmental Issues,Natural Resources and Environmental Issues
Natural Resources and Environment,Natural Resources and Environment
Natural Resource News,Natural Resource News
Natural History,Natural History
Natural Areas Report,Natural Areas Report
Natural Areas Journal,Natural Areas Journal
Natl. Wea. Dig,Natl. Wea. Dig
Native Plants Journal,Native Plant Journal
Native Plant Journal,Native Plant Journal
National Wool Growers{\textquoteright} Magazine,National Wool Growers{\textquoteright} Magazine
National Woodlands,National Woodlands
National Wildlife,National Wildlife
National Audubon Society,National Audubon Society
National Academy of Engineering Bridge,National Academy of Engineering Bridge
Naresuan Phayao Journal,Naresuan Phayao Journal
N. J. Appl. For.,N. J. Appl. For.
Myremecological News,Myremecological News
Mycotoxon,Mycotoxon
Mycotaxon,Mycotaxon
Mycorrhiza,Mycorrhiza
Mycology,Mycology
Mycologist,Mycologist
Mycological Research,Mycological Research
Mycological Progress,Mycological Progress
Mycologia,Mycologia
Mt,Mt
MPA News,MPA News
Mountain Research and Development,Mountain Research and Development
Monthly Weather Review,Monthly Weather Review
Monographs in Population Biology,Monographs in Population Biology
Mon. Wea. Rev,Mon. Wea. Rev
Mon. Wea Rev,Mon. Wea. Rev
Molecular Phylogenetics and Evolution,Molecular Phylogenetics and Evolution
Molecular Phylogenetics \& Evolution,Molecular Phylogenetics and Evolution
Molecular Ecology Resources,Molecular Ecology Resources
Molecular Ecology Notes,Molecular Ecology Notes
Molecular Ecology,Molecular Ecology
Molecular Biology and Evolution,Molecular Biology and Evolution
Mitteilungen der Deutschen Bodenkundlichen Gesellschaf,Mitteilungen der Deutschen Bodenkundlichen Gesellschaft
Mitigation and Adaptation Strategies for Global Change,Mitigation and Adaptation Strategies for Global Change
MIT Joint Program on Science and Policy of Global Change,MIT Joint Program on Science and Policy of Global Change
Mineralogical Magazine,Mineralogical Magazine
Microscopy Research and Technique,Microscopy Research and Technique
Microscopy \& Analysis,Microscopy and Analysis
Microbiology and Molecular Biology Reviews,Microbiology and Molecular Biology Reviews
Microbiol.,Microbiol.
Microbial Ecology,Microbial Ecology
Microbial Biology,Microbial Biology
Microbial and Molecular Biology Review,Microbial and Molecular Biology Review
Methods in Ecology and Evolution,Methods in Ecology and Evolution
Meteor. Appl.,Meteor. Appl.
Memoirs of the Queensland Museum,Memoirs of the Queensland Museum
Mem. Dell{\textquoteright}Istitut. Ital.Idrobiol.,Mem. Dell{\textquoteright}Istitut. Ital.Idrobiol.
Mcllvainea,Mcllvainea
McIlvainea [Journal of American Amateur Mycology],McIlvainea [Journal of American Amateur Mycology]
Mathematical Geology,Mathematical Geology
Mathematical Biosciences and Engineering,Mathematical Biosciences and Engineering
Mathematical Biosciences,Mathematical Biosciences
Mathematical and Computer Modelling,Mathematical and Computer Modeling
Mathematical and Computer Modeling,Mathematical and Computer Modeling
Mastozoologia Neotropical,Mastozoologia Neotropical
"Massachusetts Natural Heritage and Endangered Species Program, Boston","Massachusetts Natural Heritage and Endangered Species Program, Boston"
Maryland Historical Magazine,Maryland Historical Magazine
Marine Pollution Bulletin,Marine Pollution Bulletin
Marine Policy,Marine Policy
Marine Ornithology,Marine Ornithology
Marine Geology,Marine Geology
Marine Geodesy,Marine Geodesy
Marine Environmental Research,Marine Environmental Research
Marine Ecology Progress Series,Marine Ecology Progress Series
Marine Ecology-Progress Series,Marine Ecology Progress Series
Marine Ecology-Progress,Marine Ecology Progress Series
Marine Ecology,Marine Ecology
Marine Ecological Progress Series,Marine Ecology Progress Series
Marine Chemistry,Marine Chemistry
Marine Biology,Marine Biology
Marine Biodiversity,Marine Biodiversity
Marine and Petroleum Geology,Marine and Petroleum Geology
Marine and Freshwater Research,Marine and Freshwater Research
Marine and Freshwater Behaviour and Physiology,Marine and Freshwater Behaviour and Physiology
"Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science","Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science"
"Marine and Coastal Fisheries: Dynamics, Management and Ecosystem Science","Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science"
Marine \& Freshwater Research,Marine and Freshwater Research
Mar. Ecol. Prog. Ser.,Marine Ecology Progress Series
Man and the Biosphere Series,Man and the Biosphere Series
Malcom E,Malcom E
Malcolm C,Malcolm C
Madrono,Madrono
Madro{\~n}o,Madrono
"M.S. Thesis. Utah State University, Logan.","M.S. Thesis. Utah State University, Logan."
M.S. Thesis. University of Minnesota.,M.S. Thesis. University of Minnesota.
"M.S. Thesis, University of Toronto.","M.S. Thesis, University of Toronto."
"M.S. Thesis, University of Minnesota.","M.S. Thesis, University of Minnesota."
"M.S. Thesis, Idaho State University, Pocatello, ID.","M.S. Thesis, Idaho State University, Pocatello, ID."
"M. L. Pace and P. M. Groffman, eds., Successes, Limitations, and Frontiers in Ecosystems Science. Springer-Verlag, New York.","M. L. Pace and P. M. Groffman, eds., Successes, Limitations, and Frontiers in Ecosystems Science. Springer-Verlag, New York."
"M. Crawley, ed., Plant Ecology, Second Edition.","M. Crawley, ed., Plant Ecology, Second Edition."
"LTER Working Paper. Center for Limnology and UW Zoological Museum,  University of Wisconsin-Madison, Madison, Wisconsin; 1986","LTER Working Paper. Center for Limnology and UW Zoological Museum,  University of Wisconsin-Madison, Madison, Wisconsin; 1986"
